Equipment Condition,Number of Equipment,Equipment Service Time,Materials Quantity,Materials Transport Environment,Materials Procurement,Worker Capability,Worker Sense of Responsibility,Worker Health,Worker Experience,Worker Education,Worker Training,Worker Expertise,Worker Motivation,Worker Attitude,Work Space,Prefabrication,Working Field Accessibility,Advance Work,Work Method,Work Environment,Crew Composition,Work Difficulty,Work Quantity,Manager Capability,Management System,Construction Plan,Design Documents,Permission,Work Order,Claim,Safety/Accidents,Work Delay,Rework,Work Continuity,Information Technology,Productivity,Productivity
3,2,1,1,4,1,4,1,2,3,2,3,3,1,5,5,4,1,3,3,4,1,5,5,2,5,1,5,3,5,1,3,2,3,2,1,40.36,40.36
4,3,2,1,1,4,1,5,4,1,1,3,3,3,5,2,4,5,3,4,4,5,5,1,4,1,2,2,3,3,3,2,4,3,5,4,44.685,44.685
5,5,4,5,5,2,5,4,4,3,4,1,3,3,1,4,2,4,2,4,4,3,2,2,4,2,1,5,1,4,2,3,2,5,2,5,46.118,46.118
5,4,1,3,4,1,3,2,5,1,5,2,4,3,4,5,3,1,4,3,4,4,3,2,2,5,1,2,5,4,5,4,5,4,3,3,47.848,47.848
5,3,3,3,2,5,4,4,4,2,5,1,2,4,5,2,3,4,5,1,3,5,2,4,2,5,2,1,2,4,1,4,1,4,4,1,43.72,43.72
1,5,1,2,2,2,2,2,3,1,5,3,5,2,1,4,1,2,3,3,2,2,3,5,3,1,1,3,1,2,2,2,3,1,1,3,34.126,34.126
3,5,5,5,2,5,3,3,5,2,2,5,4,2,4,5,5,5,2,1,2,4,3,4,4,4,4,3,5,5,2,1,4,3,5,1,49.528,49.528
5,1,3,2,2,3,4,4,2,1,4,2,4,3,1,5,1,1,5,5,4,3,2,4,2,2,5,3,5,5,4,2,2,4,2,1,42.629,42.629
5,2,5,1,4,4,1,4,2,4,2,3,4,5,5,3,3,4,4,3,4,1,5,5,5,3,2,3,2,1,5,4,5,5,5,2,49.974,49.974
1,2,1,2,3,3,5,1,4,2,4,4,4,3,3,1,5,2,1,4,2,4,3,3,4,4,2,3,4,3,4,2,2,4,1,1,39.784,39.784
3,2,4,2,1,3,1,3,5,2,2,4,1,5,4,1,2,3,1,5,4,5,2,2,1,3,2,2,5,1,4,3,5,2,1,4,39.957,39.957
3,4,3,2,5,3,2,4,3,4,4,5,5,1,4,1,2,4,4,1,4,4,5,4,5,3,1,4,4,1,5,2,3,5,4,5,49.255,49.255
5,4,2,1,1,1,3,4,5,5,1,5,1,2,3,4,3,5,1,1,5,3,5,2,4,2,5,3,3,3,3,3,1,4,1,2,41.952,41.952
5,1,3,1,3,5,2,3,4,5,3,4,3,5,3,1,1,4,3,2,3,1,5,2,3,4,2,1,2,5,4,5,5,4,2,2,43.274,43.274
3,2,5,1,4,1,1,3,5,4,4,2,3,5,4,1,2,1,1,2,3,4,3,1,4,2,1,1,2,1,1,1,2,5,3,4,36.58,36.58
5,1,2,4,4,5,5,4,2,3,1,4,2,3,2,5,3,5,3,3,3,5,5,1,3,3,5,1,1,1,4,4,5,2,2,1,44.505,44.505
4,3,4,5,2,1,1,1,2,5,4,3,1,1,3,3,4,1,1,4,3,2,1,5,3,3,2,1,1,4,4,4,2,1,1,5,38.498,38.498
1,2,2,4,4,5,1,4,4,2,5,5,5,5,4,4,2,2,5,3,4,2,5,2,4,2,5,4,5,3,1,3,3,4,5,5,50.372,50.372
3,2,4,2,1,3,3,5,2,4,4,1,5,5,2,3,4,3,5,4,4,5,4,3,4,3,4,5,2,3,1,3,1,2,4,1,45.683,45.683
4,2,2,2,5,5,1,5,5,3,5,5,3,3,1,1,3,5,3,1,1,4,1,2,1,3,3,4,2,3,4,2,3,1,1,3,38.993,38.993
5,3,5,5,1,2,2,4,1,2,3,5,1,1,3,4,4,3,2,2,3,1,3,3,5,1,4,2,2,5,4,1,4,2,1,3,39.769,39.769
4,2,1,1,3,3,1,4,4,5,3,3,5,1,4,3,5,1,1,5,3,2,5,2,5,5,4,3,5,4,5,3,2,4,1,5,47.622,47.622
2,2,1,2,5,5,5,4,1,2,5,3,3,2,4,2,4,2,5,2,1,5,5,2,3,4,5,1,2,3,2,3,2,1,1,4,41.771,41.771
4,2,5,1,2,2,3,4,3,1,2,2,5,4,5,4,3,3,4,5,5,4,3,1,3,5,1,2,3,2,5,2,2,5,1,1,43.386,43.386
1,1,5,3,3,5,2,3,3,3,2,5,3,1,1,2,1,5,1,2,2,1,5,1,2,2,2,5,3,2,3,3,5,5,1,1,36.855,36.855
5,1,3,4,1,5,4,1,1,1,3,5,1,2,5,4,3,2,3,2,3,4,2,3,1,1,5,5,2,3,2,2,1,1,5,5,40.494,40.494
5,2,5,2,2,4,3,1,3,1,3,5,4,5,1,5,4,1,5,5,3,1,5,1,4,4,1,4,1,3,5,1,4,1,4,5,45.424,45.424
1,5,5,3,3,5,5,4,5,5,2,1,2,2,3,3,5,1,2,5,2,5,2,2,1,1,2,5,1,2,4,1,5,2,3,3,43.205,43.205
3,5,5,3,1,4,1,3,1,3,2,5,5,4,4,2,2,5,5,2,5,5,5,2,1,3,4,3,2,2,3,4,4,5,5,1,47.639,47.639
4,2,3,5,2,3,5,3,1,2,1,1,2,2,2,4,4,3,2,5,2,4,1,2,5,5,3,1,3,3,4,2,3,4,2,3,41.486,41.486
5,2,3,3,3,1,2,2,1,5,1,3,1,1,4,5,1,2,1,2,3,4,2,1,4,2,2,1,4,4,2,5,1,2,2,4,36.769,36.769
4,5,1,4,1,5,2,2,4,1,1,2,4,3,3,1,1,5,4,4,3,1,5,2,5,3,3,2,2,2,2,4,4,5,4,4,43.143,43.143
4,5,1,3,4,2,5,5,2,1,4,5,2,3,3,4,3,5,3,5,5,2,5,3,2,1,2,2,3,2,3,3,3,5,1,3,45.27,45.27
1,4,5,5,1,5,5,4,1,4,5,4,2,3,5,1,2,3,3,1,2,4,1,1,4,2,4,2,3,5,3,3,4,2,3,3,42.564,42.564
2,1,4,3,5,1,4,2,4,5,3,2,2,2,3,1,4,5,4,4,3,1,1,3,3,1,3,1,5,3,1,2,1,1,2,2,36.143,36.143
3,1,2,2,2,4,5,1,3,5,4,3,2,2,1,3,4,5,1,3,2,3,1,1,5,2,5,3,5,3,4,2,3,2,4,4,42.049,42.049
1,4,5,3,5,2,5,4,3,3,5,5,4,2,5,4,5,1,4,3,2,4,2,1,3,2,1,4,3,2,4,1,3,5,2,3,45.216,45.216
4,3,4,3,3,2,5,3,1,3,3,4,4,1,5,3,1,2,1,4,1,1,3,5,5,4,4,2,5,3,2,5,2,2,3,1,41.711,41.711
5,4,5,1,4,1,5,3,4,1,1,5,2,2,2,2,1,5,1,1,3,2,4,2,2,4,3,1,1,2,2,3,3,2,2,3,36.349,36.349
5,4,4,1,1,1,4,4,1,5,1,1,1,2,4,5,5,2,4,3,3,1,1,1,5,4,5,2,3,2,3,4,3,3,1,2,40.332,40.332
5,4,1,2,4,2,1,3,2,1,5,1,1,1,2,2,4,3,3,1,1,4,1,4,5,4,4,5,3,2,3,4,1,4,1,5,39.602,39.602
5,2,1,2,3,3,1,4,2,1,3,1,3,3,1,3,5,5,1,3,3,4,1,4,4,1,3,3,2,5,4,3,2,4,2,5,41.297,41.297
5,5,1,5,3,3,4,2,3,4,3,5,2,4,3,2,1,5,5,2,5,1,1,2,4,3,4,2,1,4,4,2,3,2,2,4,42.95,42.95
3,3,2,3,4,1,4,5,2,3,3,2,2,1,4,2,2,5,3,3,3,1,3,1,4,5,5,3,1,5,3,3,2,1,4,2,40.574,40.574
4,3,2,2,1,2,1,3,1,4,3,3,3,5,1,3,1,2,1,2,4,1,2,5,4,1,2,4,1,5,4,2,4,5,5,1,38.876,38.876
2,4,5,3,1,1,4,1,2,2,5,1,1,3,5,5,5,2,3,2,1,3,3,3,3,1,3,5,5,1,1,3,4,4,4,3,41.974,41.974
4,1,5,4,3,3,2,3,5,4,3,1,2,4,2,4,5,4,5,1,3,3,5,2,3,5,1,2,4,3,2,1,4,5,2,2,44.262,44.262
5,3,3,2,2,4,2,4,1,3,2,2,5,2,2,5,5,5,4,2,2,1,1,3,3,1,5,4,3,3,1,3,4,2,5,1,41.503,41.503
2,5,3,5,4,5,4,3,1,2,1,5,5,2,5,2,1,4,4,4,3,2,4,1,3,1,1,5,4,1,3,4,1,3,5,3,43.546,43.546
5,5,2,1,3,3,2,4,2,4,4,4,4,3,4,2,2,2,4,5,2,5,5,5,1,4,4,2,1,3,4,1,4,3,1,5,46.569,46.569
5,5,5,4,5,2,4,1,5,5,1,1,1,2,1,4,5,1,2,3,1,1,2,2,5,4,2,2,1,5,1,2,2,3,3,3,39.438,39.438
2,2,2,2,3,3,3,5,2,1,1,2,5,5,4,4,2,5,5,5,3,3,5,5,3,3,4,2,4,4,4,3,3,2,2,3,46.559,46.559
1,5,3,3,3,3,3,4,1,2,4,2,2,3,4,1,4,4,5,5,5,3,2,5,5,4,2,3,5,2,4,4,5,1,3,2,46.737,46.737
2,5,5,5,2,1,2,4,1,2,3,1,1,1,2,2,3,1,4,4,5,4,3,3,2,4,1,3,4,4,2,2,3,3,5,4,42.161,42.161
3,2,4,3,3,5,5,2,3,5,2,2,2,2,1,4,4,3,1,3,5,1,1,2,4,1,2,2,1,3,3,3,1,4,1,1,36.696,36.696
3,4,5,3,4,1,2,4,2,5,4,3,1,1,5,1,3,5,1,3,3,5,4,5,2,2,2,3,3,3,4,5,2,5,3,1,44.55,44.55
5,3,1,1,4,5,5,3,1,5,4,3,4,2,3,4,5,2,3,4,5,5,4,4,3,4,2,1,1,5,1,5,1,4,1,4,47.622,47.622
4,4,5,4,2,3,4,5,1,5,2,5,3,3,3,1,3,5,2,5,2,2,5,5,2,2,2,3,5,5,1,3,2,3,5,5,48.095,48.095
4,5,2,1,3,1,1,2,4,1,1,3,2,4,1,5,5,1,3,3,5,3,2,4,5,1,4,2,2,4,2,1,2,3,3,5,40.74,40.74
4,3,2,4,5,3,3,4,2,1,2,1,4,4,3,5,5,1,2,5,4,1,3,3,2,4,4,3,4,3,4,2,2,3,3,2,43.9,43.9
5,5,3,2,4,2,3,2,4,1,2,5,4,2,3,2,5,3,1,5,1,3,4,2,2,5,2,4,3,5,2,4,5,3,5,5,47.396,47.396
4,4,4,1,2,3,4,5,4,5,4,3,1,2,2,2,3,1,1,1,2,2,2,3,3,2,3,2,4,5,1,3,1,4,2,3,38.016,38.016
1,2,2,5,2,3,5,4,2,3,5,2,3,1,3,2,5,2,5,2,3,3,4,2,3,4,1,1,1,2,5,5,2,3,4,4,43.203,43.203
5,2,1,4,4,5,3,5,5,1,5,5,5,2,4,2,5,3,5,4,2,1,4,2,5,1,4,2,1,1,1,5,1,2,3,2,43.133,43.133
5,2,1,5,2,3,3,2,3,4,5,1,1,3,3,3,5,2,3,5,4,2,3,5,1,5,5,4,5,2,3,2,3,1,2,3,44.625,44.625
5,2,1,1,1,4,5,2,5,1,4,2,5,3,4,3,1,4,4,1,3,4,2,2,1,5,1,2,2,5,1,4,5,5,2,5,42.777,42.777
1,5,5,2,2,2,4,5,3,5,2,2,5,5,2,2,5,3,1,2,3,5,3,4,5,1,2,3,1,4,2,3,1,5,3,1,43.117,43.117
1,1,4,3,2,1,2,3,1,2,5,3,2,3,4,3,2,5,4,5,3,5,2,2,5,5,4,4,5,2,3,5,1,2,1,3,43.445,43.445
2,1,2,1,3,3,1,3,3,1,3,1,2,2,5,4,4,3,2,3,5,3,4,4,5,5,3,1,2,5,1,1,3,5,1,5,42.063,42.063
5,3,1,1,5,4,1,3,2,1,3,3,2,5,5,5,4,5,3,4,1,2,2,1,3,4,4,1,1,3,5,1,4,5,1,3,42.092,42.092
4,5,4,3,3,3,3,2,1,1,4,4,4,5,4,3,5,4,3,5,3,3,3,1,5,1,5,4,3,1,4,2,4,5,3,4,48.158,48.158
1,2,1,1,5,3,2,2,3,3,4,1,2,1,1,1,3,5,4,1,1,3,1,1,5,4,1,4,1,2,5,1,1,5,2,1,33.023,33.023
4,4,4,3,4,5,2,1,5,1,1,2,5,3,2,2,4,4,3,5,2,5,3,1,4,1,3,3,5,3,5,2,2,3,2,5,44.623,44.623
5,3,2,2,1,2,1,5,2,4,5,2,2,5,4,5,1,5,2,1,2,1,4,4,3,3,2,5,1,5,3,1,5,3,5,5,44.986,44.986
2,5,5,2,3,1,4,5,3,4,4,5,2,2,4,3,3,4,2,2,1,1,1,1,2,3,5,4,5,4,1,5,3,1,4,3,42.299,42.299
5,2,3,5,1,5,1,5,4,2,3,2,5,5,5,4,3,2,1,2,5,3,2,3,5,5,5,3,1,1,4,1,2,2,5,4,46.502,46.502
2,3,3,1,5,1,4,2,3,4,5,4,2,4,1,5,3,4,2,4,5,3,5,2,3,3,3,1,4,1,2,1,1,4,3,1,41.801,41.801
3,3,2,3,3,4,4,1,3,1,1,4,1,2,5,3,5,4,1,1,4,2,5,5,3,1,3,1,3,3,4,5,2,3,1,3,40.43,40.43
1,5,5,2,2,3,4,3,5,4,1,1,3,4,3,5,3,4,3,5,2,3,2,5,1,5,2,3,3,5,1,1,2,5,4,4,46.15,46.15
4,1,2,5,1,4,1,3,5,1,2,3,2,2,3,4,4,5,5,1,3,1,1,2,3,5,4,5,2,5,3,4,2,2,5,3,42.647,42.647
2,3,5,2,4,1,5,1,3,4,3,5,3,5,3,2,3,3,4,5,5,2,4,1,2,3,5,3,4,1,1,2,4,3,2,3,43.834,43.834
4,1,2,3,2,2,4,3,3,5,3,2,4,5,1,4,4,2,3,1,3,3,2,2,2,3,4,1,2,2,3,1,3,2,2,3,38.315,38.315
3,1,2,4,5,4,1,3,2,5,4,5,3,5,2,2,1,1,1,5,2,4,4,2,1,3,2,2,5,4,2,2,3,3,2,3,40.814,40.814
3,4,4,1,2,2,2,2,4,4,5,5,1,2,4,2,5,2,2,3,1,4,1,3,5,4,3,3,3,4,2,3,1,3,3,2,40.94,40.94
4,4,1,2,4,1,5,5,3,3,4,4,3,4,3,3,4,3,1,5,1,1,1,4,1,2,1,4,2,5,1,4,4,2,5,1,41.114,41.114
4,4,3,4,3,3,4,1,5,5,3,4,5,4,3,3,5,3,2,3,4,3,5,5,3,4,5,5,3,4,2,5,2,4,2,5,52.743,52.743
1,1,1,4,3,2,2,2,3,3,3,4,4,1,4,3,1,3,1,5,1,2,4,5,1,1,2,1,5,5,3,2,4,5,5,1,39.494,39.494
4,5,4,1,2,2,1,1,4,3,4,4,3,3,1,3,4,4,1,5,2,3,1,1,2,2,4,5,3,3,4,4,5,4,1,3,42.131,42.131
5,5,1,1,1,5,2,5,3,5,2,4,5,4,4,1,2,3,4,4,1,4,4,5,3,5,2,1,1,3,2,2,4,2,3,3,44.299,44.299
4,4,1,3,1,5,5,1,1,1,1,2,1,2,1,3,4,1,3,3,2,1,3,1,5,5,4,3,2,3,5,3,4,2,1,2,36.877,36.877
4,1,3,1,3,3,5,3,5,3,3,1,1,4,3,4,5,2,4,4,3,2,3,1,5,4,4,5,1,2,2,5,4,1,5,5,46.224,46.224
4,4,2,3,3,2,1,2,5,1,5,5,4,1,3,2,1,2,2,3,1,5,5,3,3,2,2,2,3,4,2,1,2,2,4,1,37.958,37.958
2,5,1,1,2,5,4,1,4,1,1,4,5,1,2,4,5,5,3,3,3,3,1,3,1,4,5,2,5,5,2,3,1,3,4,3,42.863,42.863
1,1,3,5,2,3,3,2,2,3,5,4,3,2,4,5,4,2,5,3,5,1,1,4,1,1,5,1,3,5,3,1,3,2,5,2,42.013,42.013
3,1,1,1,5,1,4,1,2,5,5,2,2,4,5,4,2,3,3,1,5,2,5,4,4,1,1,3,4,2,4,2,3,4,3,1,41.223,41.223
3,3,2,5,2,5,1,2,1,4,5,5,5,4,3,3,5,2,2,4,2,3,4,5,1,1,3,4,4,2,1,4,5,2,5,1,45.233,45.233
5,2,2,1,3,1,1,1,1,1,3,4,1,5,5,2,4,2,3,2,3,2,1,4,1,5,4,4,2,4,2,5,3,4,3,3,39.604,39.604
5,3,4,1,3,5,2,1,2,2,3,3,2,2,1,2,2,2,4,1,3,5,2,2,5,4,5,2,2,4,4,3,5,4,4,3,42.711,42.711
1,4,3,4,2,4,5,3,1,2,2,1,5,3,2,2,3,4,1,1,5,4,3,1,2,1,1,1,4,4,3,3,1,3,4,2,37.79,37.79
1,4,1,2,4,5,3,4,4,5,1,4,3,2,2,4,5,4,5,2,3,2,4,1,5,2,3,3,4,5,4,2,4,3,1,5,46.236,46.236
2,1,2,3,4,4,5,3,5,5,1,3,1,4,2,2,3,4,4,4,5,4,2,1,1,1,3,5,1,4,2,4,1,2,4,3,41.622,41.622
4,2,2,4,5,4,1,3,1,3,5,5,3,4,4,4,4,5,5,2,2,4,1,5,5,5,2,5,4,5,5,5,4,1,1,3,49.856,49.856
5,2,1,5,2,5,2,5,4,2,3,4,4,3,5,3,5,5,3,2,5,1,3,2,4,1,4,4,1,3,3,4,1,3,5,5,47.251,47.251
1,2,2,1,1,2,5,1,2,4,3,5,5,4,2,5,4,5,5,2,5,3,2,5,2,5,4,1,1,3,1,5,1,3,2,1,42.44,42.44
4,1,2,4,3,3,2,4,5,5,2,2,1,4,4,4,3,5,1,1,4,3,3,3,4,5,3,2,2,3,2,3,4,4,3,4,45.042,45.042
2,3,2,3,3,3,2,2,3,4,3,3,1,1,3,2,3,3,1,5,5,5,3,4,4,4,3,2,4,4,4,4,4,3,2,2,44.244,44.244
3,1,3,2,2,4,4,3,3,4,5,3,3,1,1,1,5,1,1,3,2,3,5,4,1,3,1,1,3,1,1,5,2,4,2,4,38.616,38.616
3,2,2,2,2,1,5,4,5,4,4,4,5,3,3,4,4,5,4,4,1,3,2,4,5,2,4,5,3,2,4,3,1,4,3,3,47.184,47.184
2,4,4,2,5,1,4,4,2,4,5,4,1,3,2,2,4,1,2,5,5,5,2,4,5,4,1,5,4,3,1,5,2,1,4,5,47.411,47.411
4,1,1,4,5,3,4,3,2,5,4,5,2,2,5,4,2,5,2,4,1,3,5,5,1,1,2,1,1,1,3,5,3,4,1,5,43.993,43.993
1,3,5,3,3,5,2,5,3,4,3,3,1,1,1,3,5,1,1,2,3,4,5,5,1,4,5,4,2,2,1,5,2,3,1,5,43.573,43.573
2,1,3,5,5,2,3,2,3,5,3,4,3,5,4,4,1,2,2,1,4,4,4,4,1,4,2,1,3,5,1,4,2,3,2,3,42.486,42.486
1,3,2,4,4,2,4,2,1,1,4,1,3,4,5,5,3,2,2,2,4,5,1,4,4,1,4,3,1,2,4,3,1,1,3,3,40.011,40.011
3,4,2,2,2,2,3,3,2,5,3,1,3,1,2,1,2,5,3,5,2,5,1,4,5,3,1,4,5,4,3,2,3,5,1,3,42.057,42.057
4,3,3,3,3,1,3,4,3,3,5,1,1,5,4,2,5,4,3,1,4,1,2,4,2,5,1,4,3,4,2,4,3,2,4,2,42.503,42.503
1,1,4,2,1,5,2,1,2,5,1,3,3,1,4,2,1,4,5,4,2,5,4,3,1,1,4,4,3,5,2,2,1,3,5,1,39.406,39.406
3,4,3,4,1,5,5,3,5,2,3,5,4,4,5,5,1,2,5,4,5,3,2,1,3,4,3,5,2,2,2,4,5,2,2,1,46.402,46.402
2,1,5,5,2,4,3,2,4,2,1,1,2,3,4,5,3,3,1,1,4,3,2,4,3,3,3,4,2,5,3,1,4,1,5,5,42.811,42.811
4,2,5,4,1,2,5,3,1,4,3,2,4,2,5,4,3,3,1,5,1,1,1,2,4,5,5,1,1,2,1,5,3,4,4,1,41.397,41.397
2,5,5,2,4,2,4,2,5,3,4,4,2,3,2,4,1,2,2,1,3,5,2,4,1,3,2,5,5,2,3,4,5,3,2,3,43.804,43.804
3,2,2,5,1,5,2,5,5,5,4,4,1,1,2,5,5,3,2,4,1,2,1,2,4,3,1,2,4,1,3,5,5,3,3,2,43.097,43.097
5,2,3,5,5,4,5,5,4,4,4,4,1,2,2,2,4,3,1,4,4,4,3,5,4,5,2,2,5,1,3,1,2,2,4,4,47.54,47.54
1,2,1,1,2,1,1,4,2,3,4,1,2,2,4,3,3,1,5,3,5,3,2,2,1,4,4,1,3,5,1,3,5,1,2,1,36.243,36.243
1,2,4,3,1,3,4,1,3,5,3,5,3,5,3,4,4,3,2,4,3,3,3,1,1,1,4,1,3,1,2,1,2,4,3,5,41.046,41.046
4,3,5,4,5,4,5,1,4,2,3,2,2,3,1,1,1,1,5,2,4,5,4,1,2,1,5,4,3,3,4,3,2,2,1,1,39.164,39.164
5,1,1,1,3,2,2,1,1,4,3,1,1,1,2,3,2,5,5,4,5,1,1,5,1,1,1,4,2,1,5,2,4,5,1,2,36.112,36.112
4,3,3,5,4,4,5,5,1,4,3,5,5,3,3,1,1,5,5,4,3,4,4,3,5,5,4,1,1,3,2,1,4,3,2,3,47.309,47.309
4,3,3,1,5,3,1,5,1,5,5,5,2,4,3,4,5,4,1,1,4,3,3,2,4,3,3,2,2,2,1,5,2,5,1,3,43.817,43.817
4,3,5,1,4,5,4,3,4,3,4,3,3,4,5,2,4,2,2,1,3,1,5,3,5,2,2,3,5,5,5,2,3,2,1,3,44.503,44.503
4,5,2,5,1,5,3,5,1,1,2,4,1,4,3,3,5,4,4,1,5,1,4,1,2,3,5,1,2,4,3,3,5,2,1,5,43.521,43.521
1,3,4,2,2,5,1,4,1,3,4,3,4,2,1,1,1,3,2,2,5,3,1,5,5,2,4,5,3,2,1,2,1,2,3,3,38.09,38.09
4,4,3,1,2,4,1,5,1,4,3,4,1,2,1,1,3,5,1,5,2,3,3,3,5,1,3,1,2,1,1,5,1,5,2,5,39.679,39.679
1,4,4,4,1,5,2,4,3,2,3,1,2,2,4,3,2,4,3,5,3,1,4,1,4,1,2,4,3,1,1,2,3,1,2,5,38.823,38.823
5,1,2,2,1,2,3,4,4,3,2,2,4,1,5,1,4,2,1,1,2,5,1,5,1,5,1,3,3,4,4,5,4,2,5,2,41.006,41.006
4,5,1,2,3,1,3,3,3,4,4,5,1,5,4,2,1,3,3,1,3,1,4,3,1,4,3,1,1,2,3,5,4,4,3,5,42.085,42.085
3,1,5,4,1,3,5,1,5,4,2,3,1,1,4,1,1,2,5,1,5,5,5,1,4,3,4,3,5,4,3,2,1,2,4,4,42.714,42.714
2,5,4,1,5,5,2,5,3,3,1,3,5,4,2,5,5,2,5,5,4,3,3,4,1,2,1,2,5,4,3,1,5,4,3,1,46.927,46.927
2,5,4,1,2,2,5,3,5,1,1,3,4,5,4,2,3,3,1,4,2,2,2,1,3,3,2,4,1,3,3,4,3,1,4,4,40.274,40.274
3,2,2,1,1,5,2,2,2,3,1,1,2,4,5,3,4,5,5,5,4,5,1,3,4,5,3,2,5,5,3,5,4,1,4,4,47.462,47.462
1,1,1,2,5,5,4,5,5,4,5,4,4,2,1,3,5,4,1,2,3,5,3,1,2,2,4,3,5,5,4,4,3,4,2,5,47.642,47.642
4,4,4,2,5,2,2,2,2,5,3,2,5,1,3,3,1,3,2,5,3,5,5,2,3,4,2,2,1,3,1,5,5,3,5,5,47.132,47.132
3,5,3,3,4,4,4,2,4,5,2,4,4,2,1,1,5,3,2,3,3,2,5,4,3,5,1,2,3,4,5,2,2,1,2,5,44.941,44.941
1,3,2,5,2,2,4,4,2,2,3,4,5,5,1,3,2,5,3,1,4,3,1,2,1,3,3,5,1,1,3,3,2,3,1,1,37.345,37.345
5,3,1,3,1,1,4,3,2,4,5,2,4,3,4,2,1,2,1,2,5,3,4,2,3,5,5,3,1,2,5,5,5,4,3,3,45.095,45.095
4,2,1,1,3,1,1,4,3,3,2,5,4,1,1,3,4,2,2,2,4,4,5,1,5,1,4,3,2,2,5,2,4,5,4,3,42.135,42.135
5,4,1,2,4,2,4,2,5,3,3,1,3,1,5,1,3,2,2,3,5,3,2,4,4,4,3,4,3,4,5,1,3,2,4,1,42.484,42.484
5,2,1,2,4,3,1,4,3,1,4,5,2,3,2,1,5,3,2,1,1,5,2,2,5,5,3,2,1,2,1,2,3,3,3,5,39.489,39.489
2,3,5,3,5,4,5,1,3,2,4,1,4,2,5,3,3,4,3,1,3,2,5,5,2,2,2,1,1,3,1,1,3,3,4,3,41.149,41.149
2,2,3,2,3,2,2,3,1,5,2,5,4,2,2,2,1,3,4,1,4,5,2,3,3,3,1,5,2,5,1,1,1,4,5,2,39.205,39.205
2,1,5,1,4,5,1,3,3,2,2,5,1,3,1,3,4,1,2,3,5,1,4,1,2,5,5,4,2,4,4,3,5,4,1,4,42.459,42.459
2,3,5,5,2,1,5,3,4,3,2,2,2,5,1,4,5,2,2,1,4,5,2,5,5,2,2,1,3,3,1,3,1,1,5,2,41.342,41.342
1,1,2,1,2,5,3,3,5,5,5,1,2,2,4,3,3,3,2,5,3,4,4,3,1,2,1,2,3,5,2,3,5,1,3,5,43.198,43.198
3,5,3,4,1,5,4,3,4,5,3,1,4,5,1,1,1,4,5,1,3,2,5,2,2,4,1,3,1,3,1,1,4,5,5,1,41.539,41.539
5,5,2,5,5,2,4,4,3,5,5,4,1,3,3,1,2,3,2,1,4,3,4,2,3,2,1,2,5,5,2,5,1,3,3,1,42.472,42.472
2,5,2,4,5,3,1,1,4,4,3,5,4,2,3,3,3,5,2,1,4,2,2,3,4,3,1,5,1,3,4,5,3,4,3,2,43.754,43.754
5,3,1,2,4,4,4,4,5,5,3,1,2,4,3,3,5,1,5,2,1,1,1,4,3,1,3,4,1,3,1,1,1,5,1,4,39.213,39.213
5,1,4,2,4,2,2,5,2,2,2,1,1,4,2,5,5,4,4,4,2,5,2,2,5,5,5,1,5,5,4,1,2,4,4,4,47.282,47.282
5,4,5,3,4,5,3,4,3,2,3,5,1,2,2,2,5,3,1,5,3,1,3,2,3,1,2,5,2,3,5,5,4,4,4,4,46.516,46.516
4,1,2,2,3,1,4,4,1,1,5,3,3,4,3,4,5,3,5,1,5,5,1,1,2,2,5,4,4,4,4,4,1,4,5,4,46.023,46.023
5,1,5,3,1,1,2,2,3,5,2,2,1,1,5,3,4,4,1,1,3,3,3,3,3,1,5,1,4,5,3,5,5,2,4,1,40.912,40.912
2,1,2,1,1,5,2,2,5,3,3,5,4,3,2,2,2,1,4,4,2,1,4,1,3,5,2,1,2,5,2,4,5,1,1,3,37.988,37.988
4,4,2,1,4,2,2,4,1,4,1,3,4,5,5,1,3,1,4,2,2,3,5,4,4,2,2,3,4,3,3,4,1,3,2,2,40.852,40.852
4,3,3,3,4,4,4,3,5,5,5,1,5,2,3,1,1,4,2,2,1,4,4,5,1,1,1,5,2,2,5,3,4,1,2,4,42.807,42.807
2,4,2,5,5,4,4,1,2,3,2,1,2,1,4,4,5,2,4,4,1,2,1,4,4,1,4,5,3,5,3,3,5,4,2,2,43.353,43.353
2,2,5,1,2,2,5,3,4,1,3,5,1,3,3,1,1,4,4,3,3,5,3,4,2,4,4,5,4,4,2,5,1,5,1,3,43.077,43.077
1,2,1,3,3,3,3,5,3,2,2,5,5,4,4,5,1,2,1,1,4,5,5,1,1,1,3,4,3,2,4,5,3,4,2,1,41.531,41.531
3,3,1,3,2,5,5,3,4,2,3,3,1,3,4,2,3,3,4,3,2,1,4,4,4,5,2,3,5,5,4,3,1,3,4,5,45.657,45.657
2,1,5,4,3,1,3,1,3,4,2,2,2,2,2,4,4,5,3,5,4,3,5,3,3,1,4,5,3,4,4,4,4,5,2,1,45.396,45.396
2,1,5,3,1,1,2,4,5,2,4,4,2,2,1,1,4,1,5,3,2,4,3,4,3,1,3,4,3,1,5,3,3,2,2,4,39.802,39.802
2,3,4,1,1,2,2,5,4,2,2,5,4,3,1,5,5,5,2,2,2,5,4,3,1,1,5,1,2,1,5,1,3,3,3,3,41.833,41.833
2,5,4,2,2,3,4,2,5,4,5,2,5,5,3,2,4,1,3,5,2,2,2,3,1,1,5,4,5,4,2,3,5,4,2,2,44.949,44.949
